IID,comb_mass,day,rna_sampled
1257,18.07,3,no
1258,22,3,no
1260,22.12,3,no
1261,20.04,3,no
1262,19.01,3,no
1263,21.06,3,no
1264,21.31,3,no
1265,22.74,3,no
1267,24.89,3,no
1270,20.31,3,no
1271,15.8,3,no
1273,15.49,3,no
1274,18.47,3,no
1275,17.66,3,no
1277,12.52,3,no
1278,15.49,3,no
1279,26.76,3,no
1281,17.35,3,no
1282,25.9,3,no
1283,12.02,3,no
1286,17.49,3,no
1287,30.87,3,no
1288,19.4,3,no
1290,23.52,3,no
1291,10.47,3,no
1293,10.65,3,no
1294,20.02,3,no
1296,16.6,3,no
1298,11.36,3,no
1299,16.45,3,no
1300,17.55,3,no
1301,31.86,3,no
1302,12.28,3,no
1303,22.71,3,no
1305,8.98,3,no
1306,15.22,3,no
1307,24.41,3,no
1308,15.41,3,no
1309,26.52,3,no
1310,18.03,3,no
1311,10.95,3,no
1312,25.91,3,no
1313,12.09,3,no
1314,28.13,3,no
1315,17.45,3,no
1316,27.89,3,no
1317,17.85,3,no
1318,7.59,3,no
1319,17.22,3,no
1321,11.72,3,no
1323,21.49,3,no
1324,17.81,3,no
1325,12.58,3,no
1326,21.58,3,no
1327,11.79,3,no
1330,55.33,3,no
1332,16.82,3,no
1334,13.41,3,no
1336,15.76,3,no
1337,33.76,3,no
1341,15.45,3,no
1342,35.46,3,no
1343,20.96,3,no
1344,19.61,3,no
1345,22.22,3,no
1346,17.67,3,no
1347,17.03,3,no
1348,14.97,3,no
1349,21.41,3,no
1351,23.82,3,no
1354,23.74,3,no
1355,22.32,3,no
1356,15.69,3,no
1359,26.65,3,no
1360,21.19,3,no
1365,17.36,5,no
1366,21.57,5,no
1370,26.32,5,yes
1371,22.52,5,yes
1372,22.23,5,yes
1373,22.36,5,yes
1374,18.69,5,no
1375,9.44,5,yes
1379,20.29,5,no
1381,25.16,5,yes
1382,21.44,5,no
1386,14.88,5,yes
1387,25.97,5,yes
1389,19.62,5,no
1390,11.34,5,yes
1391,16.15,5,no
1393,19.54,5,no
1394,28.65,5,yes
1395,29.06,5,yes
1397,20.37,5,no
1398,36.3,5,yes
1399,28.8,5,yes
1400,19.65,5,no
1401,25.7,5,yes
1402,20.85,5,no
1403,10.74,5,yes
1405,20.19,5,no
1406,17.97,5,no
1407,15.86,5,yes
1410,29.39,5,yes
1411,18.12,5,yes
1412,15.55,5,no
1415,18.35,5,no
1416,18.65,5,no
1418,16.08,5,no
1419,16.58,5,no
1420,24.81,5,no
1421,20.08,5,no
1422,17.1,5,no
1423,24.34,5,yes
1424,25.26,5,no
1425,21.95,5,no
1427,21.88,5,no
1428,18.74,5,no
1429,18.7,5,no
1431,14.89,5,yes
1433,17.48,5,no
1434,12.2,5,yes
1435,28.19,5,yes
1438,30.43,5,yes
1439,24.31,5,yes
1440,19.22,5,no
1441,13.62,5,yes
1443,28.21,5,yes
1444,28.51,5,yes
1445,21.29,5,no
1446,24.46,5,yes
1447,19.02,5,no
1448,22.29,5,no
1451,29.07,5,yes
1452,16.71,5,no
1453,23.56,5,yes
1454,17.12,5,no
1456,29.14,5,yes
1459,16.99,5,no
1460,20.8,5,no
1461,15.38,5,yes
1462,22.81,5,yes
1463,23.8,5,yes
1466,20,5,no
1467,15.74,5,yes
1468,19.36,5,no
1469,14.43,5,yes
1470,22.01,5,no
1471,24.04,5,yes
1473,11.81,5,yes
1474,23.76,5,yes
1476,19.82,5,no
1477,18.31,5,no
1483,25.93,5,yes
1484,13.41,5,yes
1485,17.7,5,no
1486,20.49,5,no
