IID,load_N,cage.pen,feed,breed,group,weight,comb_mass
351,100,CAGE,SLU-försök,LSL,2627,1.689,18.03
352,180,CAGE,SLU-kontroll,LSL,2511,1.907,20.74
354,148,CAGE,SLU-kontroll,LSL,2603,1.747,31.73
356,181,CAGE,SLU-kontroll,LSL,2625,2.213,35.98
357,218,CAGE,SLU-försök,Bovans,2113,1.814,23.9
358,171,CAGE,SLU-försök,Bovans,2113,2.048,34.93
359,142,CAGE,SLU-kontroll,LSL,2114,2.135,24.8
360,136,CAGE,SLU-kontroll,LSL,2114,1.818,25.72
361,130,CAGE,SLU-kontroll,Bovans,2115,1.838,25.68
362,129,CAGE,SLU-kontroll,Bovans,2115,1.842,22.72
363,120,CAGE,SLU-kontroll,Bovans,2128,1.962,32.79
365,160,CAGE,SLU-försök,LSL,2129,1.943,17.99
366,117,CAGE,SLU-försök,LSL,2129,1.814,20.66
367,87,CAGE,SLU-försök,Bovans,2130,1.907,17.83
368,109,CAGE,SLU-försök,Bovans,2130,1.814,22.58
369,160,CAGE,SLU-försök,LSL,2213,1.928,27.5
370,216,CAGE,SLU-försök,LSL,2213,1.902,33.79
371,110,CAGE,SLU-försök,Bovans,2214,1.891,27.01
373,166,CAGE,SLU-försök,LSL,2215,1.967,31.83
374,130,CAGE,SLU-försök,LSL,2215,1.556,16.35
375,105,CAGE,SLU-kontroll,LSL,2228,1.838,26.57
377,139,CAGE,SLU-kontroll,Bovans,2229,1.961,34.83
378,146,CAGE,SLU-kontroll,Bovans,2229,1.778,25.58
381,117,CAGE,SLU-kontroll,Bovans,2313,1.94,32.27
382,134,CAGE,SLU-kontroll,Bovans,2313,1.814,25.57
383,141,CAGE,SLU-försök,LSL,2314,2.077,26.1
384,131,CAGE,SLU-försök,LSL,2314,1.5,24.63
385,116,CAGE,SLU-kontroll,Bovans,2315,1.464,21.88
386,130,CAGE,SLU-kontroll,Bovans,2315,1.895,26.34
387,138,CAGE,SLU-försök,Bovans,2328,1.729,29.19
389,110,CAGE,SLU-kontroll,LSL,2329,2.023,26.52
390,174,CAGE,SLU-kontroll,LSL,2329,1.629,34
391,176,CAGE,SLU-försök,Bovans,2330,2.16,24.68
392,162,CAGE,SLU-försök,Bovans,2330,2.249,31.89
393,221,CAGE,SLU-kontroll,LSL,2413,1.788,27.38
395,134,CAGE,SLU-kontroll,Bovans,2414,2.051,19.01
398,125,CAGE,SLU-försök,LSL,2415,1.477,21.66
399,134,CAGE,SLU-försök,Bovans,2429,1.73,26.93
400,103,CAGE,SLU-försök,LSL,2428,1.446,19.86
401,138,CAGE,SLU-försök,LSL,2428,1.897,25.97
402,150,CAGE,SLU-försök,Bovans,2429,2.016,37.23
405,145,CAGE,SLU-kontroll,Bovans,2513,1.874,23.22
407,164,CAGE,SLU-kontroll,LSL,2514,2.317,20.66
408,124,CAGE,SLU-kontroll,LSL,2514,1.79,16.78
409,136,CAGE,SLU-kontroll,Bovans,2515,1.937,27.98
412,106,CAGE,SLU-försök,Bovans,2528,1.773,20.79
413,154,CAGE,SLU-försök,LSL,2529,2.047,21.75
414,181,CAGE,SLU-försök,LSL,2529,2.089,25.06
416,NA,CAGE,SLU-försök,Bovans,2530,1.894,35.16
417,149,CAGE,SLU-försök,LSL,2613,1.722,23.68
418,127,CAGE,SLU-försök,LSL,2613,1.569,21.34
421,171,CAGE,SLU-kontroll,LSL,2615,2.072,17.96
422,128,CAGE,SLU-kontroll,LSL,2615,2.069,17.93
423,136,CAGE,SLU-kontroll,LSL,2628,1.671,19.57
424,147,CAGE,SLU-kontroll,Bovans,2629,1.784,35.84
425,142,CAGE,SLU-försök,LSL,2630,1.977,21.99
426,131,CAGE,SLU-kontroll,LSL,2628,1.798,23.95
438,157,CAGE,SLU-försök,LSL,2117,1.889,18.68
439,145,CAGE,SLU-försök,Bovans,2118,1.777,28.99
440,102,CAGE,SLU-försök,Bovans,2118,1.819,22.91
445,156,CAGE,SLU-försök,LSL,2203,2.051,31.19
506,201,CAGE,SLU-försök,Bovans,2322,1.921,35.94
509,178,CAGE,SLU-kontroll,LSL,2625,1.987,36.96
510,91,CAGE,SLU-kontroll,LSL,2511,1.645,14.26
511,157,CAGE,SLU-kontroll,LSL,2625,2.099,24.12
514,154,CAGE,SLU-kontroll,Bovans,2626,2.216,29.92
517,NA,CAGE,SLU-kontroll,Bovans,2128,2.165,29.14
518,141,CAGE,SLU-försök,Bovans,2214,2.019,23.74
521,177,CAGE,SLU-kontroll,LSL,2413,2.012,28.84
522,NA,CAGE,SLU-kontroll,Bovans,2414,1.769,27.59
523,93,CAGE,SLU-kontroll,LSL,2228,1.711,19.16
524,136,CAGE,SLU-kontroll,LSL,2230,2.046,19.86
525,90,CAGE,SLU-kontroll,LSL,2430,1.866,13.93
526,144,CAGE,SLU-kontroll,LSL,2430,1.981,16.05
531,140,CAGE,SLU-försök,Bovans,2530,2.023,28.33
533,193,CAGE,SLU-kontroll,Bovans,2513,1.679,29.49
534,NA,CAGE,SLU-försök,Bovans,2614,1.754,17.96
536,143,CAGE,SLU-försök,Bovans,2528,1.748,21.03
537,140,CAGE,SLU-kontroll,Bovans,2629,2.06,32.35
539,NA,CAGE,SLU-försök,Bovans,2101,1.728,30.41
540,126,CAGE,SLU-försök,Bovans,2101,1.79,32.09
542,174,CAGE,SLU-kontroll,LSL,2102,1.71,28.91
544,130,CAGE,SLU-kontroll,LSL,2102,1.966,32.48
545,164,CAGE,SLU-kontroll,Bovans,2106,2.236,17
546,149,CAGE,SLU-kontroll,Bovans,2106,1.886,28.52
547,NA,CAGE,SLU-kontroll,Bovans,2116,1.756,17.53
548,NA,CAGE,SLU-kontroll,Bovans,2116,2.34,16.48
549,151,CAGE,SLU-försök,LSL,2117,2.041,24.03
554,103,CAGE,SLU-försök,LSL,2201,1.79,24.68
555,117,CAGE,SLU-kontroll,Bovans,2217,1.96,27.8
557,113,CAGE,SLU-kontroll,Bovans,2217,1.975,26.43
558,127,CAGE,SLU-försök,LSL,2203,1.863,16.29
560,94,CAGE,SLU-försök,Bovans,2107,2.134,33.91
562,137,CAGE,SLU-kontroll,Bovans,2109,1.96,32.8
563,122,CAGE,SLU-försök,Bovans,2107,1.966,24.6
567,147,CAGE,SLU-kontroll,Bovans,2122,1.691,24.84
568,196,CAGE,SLU-kontroll,Bovans,2122,2.103,24.52
569,100,CAGE,SLU-kontroll,Bovans,2109,1.915,25.32
570,102,CAGE,SLU-kontroll,LSL,2108,1.667,18.96
572,114,CAGE,SLU-försök,Bovans,2124,1.647,21.35
573,126,CAGE,SLU-försök,LSL,2123,1.645,22.14
574,139,CAGE,SLU-försök,LSL,2123,1.903,28.72
575,140,CAGE,SLU-försök,Bovans,2124,1.69,23
576,155,CAGE,SLU-kontroll,LSL,2105,1.793,22.5
577,130,CAGE,SLU-försök,Bovans,2208,2.184,24.97
578,143,CAGE,SLU-försök,Bovans,2208,1.797,31.47
579,167,CAGE,SLU-försök,LSL,2209,1.754,19.66
580,117,CAGE,SLU-försök,LSL,2209,1.677,21.41
581,166,CAGE,SLU-försök,LSL,2207,2.056,18.07
582,167,CAGE,SLU-försök,LSL,2207,2.117,19.01
585,167,CAGE,SLU-kontroll,LSL,2222,1.882,16.43
586,221,CAGE,SLU-kontroll,Bovans,2223,2.433,24.9
587,164,CAGE,SLU-kontroll,Bovans,2223,2.128,21.76
588,136,CAGE,SLU-kontroll,LSL,2224,2.322,30.52
590,97,CAGE,SLU-kontroll,Bovans,2307,1.912,31.44
592,153,CAGE,SLU-försök,LSL,2308,2.067,18.39
593,140,CAGE,SLU-försök,LSL,2308,1.708,32.66
596,154,CAGE,SLU-kontroll,LSL,2224,1.784,14.44
598,158,CAGE,SLU-kontroll,Bovans,2309,1.921,31.23
599,135,CAGE,SLU-kontroll,Bovans,2309,1.895,28.68
600,178,CAGE,SLU-försök,Bovans,2322,2.188,21.2
601,164,CAGE,SLU-försök,Bovans,2322,1.985,23.91
603,147,CAGE,SLU-försök,Bovans,2322,2.139,29.8
605,137,CAGE,SLU-kontroll,LSL,2323,1.87,31.37
608,145,CAGE,SLU-försök,Bovans,2324,1.904,26.86
609,115,CAGE,SLU-försök,Bovans,2324,1.751,34.69
610,124,CAGE,SLU-kontroll,LSL,2407,1.955,21.99
611,183,CAGE,SLU-kontroll,LSL,2407,2.038,23.88
612,123,CAGE,SLU-kontroll,LSL,2323,1.757,31.2
613,127,CAGE,SLU-kontroll,LSL,2323,1.483,22.5
614,181,CAGE,SLU-kontroll,Bovans,2408,1.753,28.45
615,167,CAGE,SLU-kontroll,Bovans,2408,1.855,29.45
616,154,CAGE,SLU-försök,LSL,2409,2.025,20.14
617,157,CAGE,SLU-försök,LSL,2409,1.883,21.38
618,155,CAGE,SLU-kontroll,Bovans,2304,1.803,25.38
621,106,CAGE,SLU-försök,Bovans,2423,2.049,22.1
622,154,CAGE,SLU-försök,Bovans,2423,1.896,22.84
623,159,CAGE,SLU-försök,LSL,2422,1.705,24.33
624,141,CAGE,SLU-försök,LSL,2422,1.854,14.32
625,156,CAGE,SLU-försök,LSL,2422,1.96,27.37
626,145,CAGE,SLU-kontroll,LSL,2424,2.305,33.06
628,177,CAGE,SLU-kontroll,Bovans,2507,2.324,24.36
629,158,CAGE,SLU-kontroll,Bovans,2507,2.092,24.16
630,154,CAGE,SLU-kontroll,LSL,2508,1.85,13.61
631,116,CAGE,SLU-kontroll,LSL,2508,1.977,27.03
632,153,CAGE,SLU-kontroll,Bovans,2509,2.192,24.8
633,130,CAGE,SLU-kontroll,Bovans,2509,1.837,18.81
634,113,CAGE,SLU-försök,Bovans,2522,1.751,20.6
636,153,CAGE,SLU-försök,LSL,2523,1.826,27.71
637,157,CAGE,SLU-försök,LSL,2523,1.732,19.29
639,103,CAGE,SLU-försök,Bovans,2524,1.803,17.15
643,189,CAGE,SLU-försök,LSL,2607,2.009,22.26
644,116,CAGE,SLU-försök,Bovans,2524,1.778,36.7
645,130,CAGE,SLU-försök,Bovans,2608,1.979,23.52
646,133,CAGE,SLU-försök,Bovans,2608,1.701,18.89
647,155,CAGE,SLU-kontroll,LSL,2609,2.319,23.31
649,NA,CAGE,SLU-kontroll,LSL,2622,1.778,28.94
650,156,CAGE,SLU-kontroll,LSL,2622,1.961,12.3
652,164,CAGE,SLU-kontroll,Bovans,2623,2.184,30.7
653,189,CAGE,SLU-försök,LSL,2624,1.821,21.85
655,120,CAGE,SLU-försök,Bovans,2519,1.649,35.4
656,168,CAGE,SLU-försök,Bovans,2519,2.143,27.9
658,187,CAGE,SLU-försök,LSL,2607,2.759,37.95
660,143,CAGE,SLU-kontroll,Bovans,2623,2.108,14.21
661,198,CAGE,SLU-kontroll,LSL,2606,1.896,23.99
1003,195,PEN,SLU-försök,LSL,1001,1.781,12.75
1004,204,PEN,SLU-försök,LSL,1001,1.79,18.76
1006,195,PEN,SLU-försök,LSL,1001,1.822,33.51
1007,256,PEN,SLU-försök,LSL,1001,1.756,11.88
1008,204,PEN,SLU-försök,LSL,1001,1.771,24.81
1009,303,PEN,SLU-försök,LSL,1001,1.763,23.46
1010,240,PEN,SLU-försök,LSL,1001,1.973,18.14
1011,200,PEN,SLU-försök,LSL,1001,2.034,28.18
1012,247,PEN,SLU-försök,LSL,1001,1.873,13.81
1013,243,PEN,SLU-försök,LSL,1001,1.872,25.54
1014,259,PEN,SLU-försök,LSL,1001,1.767,10.21
1015,209,PEN,SLU-försök,LSL,1001,1.965,30.28
1016,244,PEN,SLU-försök,LSL,1001,1.749,20.52
1017,191,PEN,SLU-försök,LSL,1001,1.721,18.65
1019,191,PEN,SLU-försök,LSL,1001,1.742,18.96
1020,153,PEN,SLU-försök,LSL,1001,1.705,13.35
1022,149,PEN,SLU-försök,Bovans,1002,1.388,16.75
1023,176,PEN,SLU-försök,Bovans,1002,1.952,10.25
1026,214,PEN,SLU-försök,Bovans,1002,2.015,30.96
1027,189,PEN,SLU-försök,Bovans,1002,1.707,24.92
1030,186,PEN,SLU-försök,Bovans,1002,1.617,24.33
1032,325,PEN,SLU-försök,Bovans,1002,1.729,19.42
1033,204,PEN,SLU-försök,Bovans,1002,1.825,19.16
1035,289,PEN,SLU-försök,Bovans,1002,2.124,26.88
1037,170,PEN,SLU-försök,Bovans,1002,2.065,14.42
1042,244,PEN,SLU-kontroll,Bovans,1003,2.118,19.9
1044,234,PEN,SLU-kontroll,Bovans,1003,1.947,13.42
1045,250,PEN,SLU-kontroll,Bovans,1003,1.979,21.84
1046,209,PEN,SLU-kontroll,Bovans,1003,1.928,21.6
1047,211,PEN,SLU-kontroll,Bovans,1003,2.133,23.35
1048,181,PEN,SLU-kontroll,Bovans,1003,2.03,22.83
1049,173,PEN,SLU-kontroll,Bovans,1003,1.853,21.6
