"IID","feed","cage.pen","breed","weight","comb_mass","group"
392,"SLU-försök","CAGE","Bovans",2.249,31.89,2330
393,"SLU-kontroll","CAGE","LSL",1.788,27.38,2413
395,"SLU-kontroll","CAGE","Bovans",2.051,19.01,2414
398,"SLU-försök","CAGE","LSL",1.477,21.66,2415
399,"SLU-försök","CAGE","Bovans",1.73,26.93,2429
400,"SLU-försök","CAGE","LSL",1.446,19.86,2428
401,"SLU-försök","CAGE","LSL",1.897,25.97,2428
402,"SLU-försök","CAGE","Bovans",2.016,37.23,2429
405,"SLU-kontroll","CAGE","Bovans",1.874,23.22,2513
407,"SLU-kontroll","CAGE","LSL",2.317,20.66,2514
408,"SLU-kontroll","CAGE","LSL",1.79,16.78,2514
409,"SLU-kontroll","CAGE","Bovans",1.937,27.98,2515
412,"SLU-försök","CAGE","Bovans",1.773,20.79,2528
413,"SLU-försök","CAGE","LSL",2.047,21.75,2529
414,"SLU-försök","CAGE","LSL",2.089,25.06,2529
416,"SLU-försök","CAGE","Bovans",1.894,35.16,2530
417,"SLU-försök","CAGE","LSL",1.722,23.68,2613
418,"SLU-försök","CAGE","LSL",1.569,21.34,2613
421,"SLU-kontroll","CAGE","LSL",2.072,17.96,2615
422,"SLU-kontroll","CAGE","LSL",2.069,17.93,2615
423,"SLU-kontroll","CAGE","LSL",1.671,19.57,2628
424,"SLU-kontroll","CAGE","Bovans",1.784,35.84,2629
425,"SLU-försök","CAGE","LSL",1.977,21.99,2630
426,"SLU-kontroll","CAGE","LSL",1.798,23.95,2628
438,"SLU-försök","CAGE","LSL",1.889,18.68,2117
439,"SLU-försök","CAGE","Bovans",1.777,28.99,2118
440,"SLU-försök","CAGE","Bovans",1.819,22.91,2118
445,"SLU-försök","CAGE","LSL",2.051,31.19,2203
506,"SLU-försök","CAGE","Bovans",1.921,35.94,2322
509,"SLU-kontroll","CAGE","LSL",1.987,36.96,2625
510,"SLU-kontroll","CAGE","LSL",1.645,14.26,2511
511,"SLU-kontroll","CAGE","LSL",2.099,24.12,2625
514,"SLU-kontroll","CAGE","Bovans",2.216,29.92,2626
517,"SLU-kontroll","CAGE","Bovans",2.165,29.14,2128
518,"SLU-försök","CAGE","Bovans",2.019,23.74,2214
521,"SLU-kontroll","CAGE","LSL",2.012,28.84,2413
522,"SLU-kontroll","CAGE","Bovans",1.769,27.59,2414
523,"SLU-kontroll","CAGE","LSL",1.711,19.16,2228
524,"SLU-kontroll","CAGE","LSL",2.046,19.86,2230
525,"SLU-kontroll","CAGE","LSL",1.866,13.93,2430
526,"SLU-kontroll","CAGE","LSL",1.981,16.05,2430
531,"SLU-försök","CAGE","Bovans",2.023,28.33,2530
533,"SLU-kontroll","CAGE","Bovans",1.679,29.49,2513
534,"SLU-försök","CAGE","Bovans",1.754,17.96,2614
536,"SLU-försök","CAGE","Bovans",1.748,21.03,2528
537,"SLU-kontroll","CAGE","Bovans",2.06,32.35,2629
539,"SLU-försök","CAGE","Bovans",1.728,30.41,2101
540,"SLU-försök","CAGE","Bovans",1.79,32.09,2101
542,"SLU-kontroll","CAGE","LSL",1.71,28.91,2102
544,"SLU-kontroll","CAGE","LSL",1.966,32.48,2102
545,"SLU-kontroll","CAGE","Bovans",2.236,17,2106
546,"SLU-kontroll","CAGE","Bovans",1.886,28.52,2106
547,"SLU-kontroll","CAGE","Bovans",1.756,17.53,2116
548,"SLU-kontroll","CAGE","Bovans",2.34,16.48,2116
549,"SLU-försök","CAGE","LSL",2.041,24.03,2117
554,"SLU-försök","CAGE","LSL",1.79,24.68,2201
555,"SLU-kontroll","CAGE","Bovans",1.96,27.8,2217
557,"SLU-kontroll","CAGE","Bovans",1.975,26.43,2217
558,"SLU-försök","CAGE","LSL",1.863,16.29,2203
560,"SLU-försök","CAGE","Bovans",2.134,33.91,2107
562,"SLU-kontroll","CAGE","Bovans",1.96,32.8,2109
563,"SLU-försök","CAGE","Bovans",1.966,24.6,2107
567,"SLU-kontroll","CAGE","Bovans",1.691,24.84,2122
568,"SLU-kontroll","CAGE","Bovans",2.103,24.52,2122
569,"SLU-kontroll","CAGE","Bovans",1.915,25.32,2109
570,"SLU-kontroll","CAGE","LSL",1.667,18.96,2108
572,"SLU-försök","CAGE","Bovans",1.647,21.35,2124
573,"SLU-försök","CAGE","LSL",1.645,22.14,2123
574,"SLU-försök","CAGE","LSL",1.903,28.72,2123
575,"SLU-försök","CAGE","Bovans",1.69,23,2124
576,"SLU-kontroll","CAGE","LSL",1.793,22.5,2105
577,"SLU-försök","CAGE","Bovans",2.184,24.97,2208
578,"SLU-försök","CAGE","Bovans",1.797,31.47,2208
579,"SLU-försök","CAGE","LSL",1.754,19.66,2209
580,"SLU-försök","CAGE","LSL",1.677,21.41,2209
581,"SLU-försök","CAGE","LSL",2.056,18.07,2207
582,"SLU-försök","CAGE","LSL",2.117,19.01,2207
585,"SLU-kontroll","CAGE","LSL",1.882,16.43,2222
586,"SLU-kontroll","CAGE","Bovans",2.433,24.9,2223
587,"SLU-kontroll","CAGE","Bovans",2.128,21.76,2223
588,"SLU-kontroll","CAGE","LSL",2.322,30.52,2224
590,"SLU-kontroll","CAGE","Bovans",1.912,31.44,2307
592,"SLU-försök","CAGE","LSL",2.067,18.39,2308
593,"SLU-försök","CAGE","LSL",1.708,32.66,2308
596,"SLU-kontroll","CAGE","LSL",1.784,14.44,2224
598,"SLU-kontroll","CAGE","Bovans",1.921,31.23,2309
599,"SLU-kontroll","CAGE","Bovans",1.895,28.68,2309
600,"SLU-försök","CAGE","Bovans",2.188,21.2,2322
601,"SLU-försök","CAGE","Bovans",1.985,23.91,2322
603,"SLU-försök","CAGE","Bovans",2.139,29.8,2322
605,"SLU-kontroll","CAGE","LSL",1.87,31.37,2323
608,"SLU-försök","CAGE","Bovans",1.904,26.86,2324
609,"SLU-försök","CAGE","Bovans",1.751,34.69,2324
610,"SLU-kontroll","CAGE","LSL",1.955,21.99,2407
611,"SLU-kontroll","CAGE","LSL",2.038,23.88,2407
612,"SLU-kontroll","CAGE","LSL",1.757,31.2,2323
613,"SLU-kontroll","CAGE","LSL",1.483,22.5,2323
